country,avg_home_score,avg_away_score
Scotland,1.49506578947,1.25986842105
Germany,1.60049019608,1.1556372549
England,1.62927631579,1.11315789474
Belgium,1.65219907407,1.10185185185
Switzerland,1.61462728551,1.14205344585
Italy,1.66291017567,1.07325157441
France,1.62368421053,1.09375
Poland,1.6328125,1.09375
Netherlands,1.67238562092,1.09027777778
Spain,1.69703947368,1.07138157895
Portugal,1.58723196881,1.1530214425
