pc1,pc2,name,rating
-157888.118401,-72.4982247907,Daniele De Rossi,82
-153159.116729,-73.6908138805,Demba Ba,82
-91957.1129194,190.824650174,Diego Alves,82
-131741.111872,196.683813896,Fernando Muslera,82
-147403.117253,-76.7225267806,Filipe Luis,82
-164787.115942,-22.4090375209,Gary Cahill,82
18665.8812823,-70.7017475047,Granit Xhaka,82
-34338.1182001,-55.5947087522,Grzegorz Krychowiak,82
5594.88317256,-68.9436605735,Harry Kane,82
-162407.116194,-77.6756314367,Hatem Ben Arfa,82
-157913.111482,200.106617433,Iker Casillas,82
-11444.1122639,211.139096831,Jan Oblak,82
-150808.117941,-67.1214681169,Jan Vertonghen,82
-118161.114455,-52.6620292006,Javier Hernandez,82
-162167.118015,-56.1421593855,Jeremy Mathieu,82
-148580.1177,-47.923164023,Jeremy Toulalan,82
54593.8839992,-72.2902437061,Julian Draxler,82
-157581.112151,206.889153354,Julio Cesar,82
-37900.1147767,26.2866264266,Kamil Glik,82
19659.8854195,-61.9805046924,Karim Bellarabi,82
-43020.1119517,222.061032927,Kevin Trapp,82
-136621.111574,205.040178422,Keylor Navas,82
-151197.117296,-63.5755772561,Lars Bender,82
-164582.116177,-55.0381637362,Lassana Diarra,82
-163724.118351,-96.6971516003,Leighton Baines,82
-162217.117337,-58.4256781107,Loic Perrin,82
4870.88637768,-63.3827266709,Lorenzo Insigne,82
-4016.11301805,213.214742492,Marc-Andre ter Stegen,82
-146912.117159,-85.3348278862,Marek Hamsik,82
-113123.116033,-50.3098021873,Mario Mandzukic,82
-141677.117695,-64.7141428035,Morgan Schneiderlin,82
-147625.114935,-72.3821033519,Nani,82
24915.8836567,-74.4698221618,Nolito,82
-142101.116998,-56.6757958197,Olivier Giroud,82
-59706.1148974,-64.1259417,Oscar,82
-158061.117635,-64.9638609481,Pablo Zabaleta,82
-166027.11614,-62.7386873837,Radamel Falcao,82
42411.8839077,-24.9807673423,Raphael Varane,82
-72979.1189311,-92.6939671574,Ricardo Rodriguez,82
54138.8836917,-77.548225036,Roberto Firmino,82
-7294.1159488,-55.5091347684,Romelu Lukaku,82
-160911.11139,220.211843142,Salvatore Sirigu,82
-162389.114418,-77.4943999306,Samir Nasri,82
-92030.1144091,-79.9954604433,Sebastian Giovinco,82
-146454.114302,-78.9778181914,Sebastian Meoli,82
-43577.113745,-52.7317778723,Shinji Kagawa,82
-3571.11668617,-37.1130957988,Shkodran Mustafi,82
-158096.116883,-81.9185245307,Stephan Lichtsteiner,82
-151196.116888,-35.0656236754,Sven Bender,82
-161718.119423,-67.5614556649,Thiago Motta,82
-27971.1183257,-50.5851692057,Toby Alderweireld,82
-157692.115818,-75.1072528239,Wesley Sneijder,82
-8775.11512201,-69.3480513334,Yacine Brahimi,82
-146952.112005,208.739920399,Yann Sommer,82
-85120.1148758,-71.5322052311,Yevheniy Konoplyanka,82
-113260.116751,-57.5420737765,Alvaro Negredo,81
